index,No action,1 bulbs equal,2 bulbs equal,1 vs. 2 bulbs different,Battery voltage equal,Battery voltage different,Resistance change: 1 or 2 bulbs,Resistance change: 2 bulbs,Resistance equal: 2 bulbs different value,Resistance equal: 2 or 1 vs. 2 bulbs same value,Resistance equal: 1 bulb,Resistance equal: 2 bulbs different value & position,Ammeter equal: after/before 1 or 2 bulb,Ammeter different: before vs. after 1 or 2 bulbs,Ammeter different: on high/low of 2 bulb,Voltmeter equal: 1 bulb or 2 bulbs or battery,Voltmeter equal: 2 bulbs,Voltmeter different: high vs. low resistance 2 bulbs,Voltmeter different: high vs. low resistance 2 bulbs vs. battery
1,1,2,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0
2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
4,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
5,0,0,2,0,2,0,0,0,1,1,0,0,0,1,1,1,0,1,0
6,2,2,2,0,3,1,1,0,1,1,1,0,2,2,0,2,0,0,0
7,0,1,1,0,2,0,1,0,1,0,0,0,0,2,0,2,0,0,0
8,0,3,1,0,3,1,2,0,1,0,1,0,2,2,0,3,0,1,1
9,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
10,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
11,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
12,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
13,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
14,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
15,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
16,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
17,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
18,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
19,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
20,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
21,0,0,3,0,3,0,0,0,3,0,0,0,1,0,2,1,0,2,1
22,0,1,3,0,4,0,0,0,3,0,1,0,2,1,1,2,0,2,1
23,0,1,0,1,2,0,1,0,0,0,1,0,2,0,0,2,0,0,0
24,0,2,2,0,3,1,0,1,0,1,2,0,2,1,1,3,0,1,0
25,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
26,0,2,1,0,3,0,1,0,1,0,1,0,0,2,1,3,0,0,0
27,0,1,0,1,2,0,1,0,0,0,1,0,1,1,0,2,0,0,0
28,0,0,1,3,4,0,2,0,2,0,0,0,2,1,1,4,0,0,0
29,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0
30,0,0,1,1,2,0,0,1,0,1,0,0,1,0,1,2,0,0,0
31,0,0,3,1,4,0,1,0,2,1,0,0,2,1,1,3,0,1,0
32,0,1,1,0,2,0,0,0,1,0,1,1,0,1,1,1,0,1,0
33,0,1,0,1,2,0,0,0,1,0,1,1,1,1,0,1,0,1,0
34,0,1,1,0,2,0,0,0,1,0,1,0,0,1,1,2,0,0,0
35,0,1,1,0,2,0,1,0,0,0,1,0,1,1,0,1,0,1,0
36,0,2,2,1,5,0,1,3,0,0,1,0,2,3,0,5,0,0,0
37,0,1,1,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0
38,0,1,2,0,3,0,1,1,1,0,0,0,1,1,1,3,1,0,0
39,0,1,1,0,2,0,0,0,0,1,1,0,1,1,0,2,0,0,0
40,0,0,2,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,1
41,0,0,1,1,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
42,0,0,2,0,2,0,0,1,1,0,0,1,1,1,0,1,0,1,0
43,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,2,0,0,0
44,0,1,1,0,1,1,1,0,0,1,0,0,2,0,0,2,0,0,0
45,0,1,2,0,2,1,0,1,1,0,1,0,2,1,0,2,0,1,0
46,0,3,2,0,4,1,0,0,1,1,3,1,4,1,0,4,1,1,0
47,0,4,0,0,3,1,3,0,0,0,1,0,1,3,0,4,0,0,0
48,0,3,0,2,3,2,0,0,0,1,3,0,4,1,0,5,0,1,0
49,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
50,0,0,0,3,1,2,0,0,0,3,0,0,1,2,0,3,0,0,0
51,0,2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0
52,0,2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0
53,0,0,2,1,3,0,1,0,2,0,0,0,3,0,0,2,0,1,0
54,0,2,2,0,2,2,0,0,1,1,2,0,3,1,0,4,2,0,0
55,0,1,1,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0
56,0,2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0
57,0,0,2,1,3,0,1,0,1,1,0,0,2,1,0,2,0,1,0
58,0,1,0,1,2,0,1,0,0,0,1,0,1,1,0,2,0,0,0
59,0,1,2,1,3,1,2,0,0,1,1,0,2,2,0,4,0,0,0
60,0,3,0,1,4,0,0,1,0,0,3,0,2,2,0,2,0,2,2